Job Title,Company Name,Location,Education Requirements,Experience Requirements
Sales Engineer – Filter Section,Renowned Company,Anywhere in Bangladesh,Bachelor of Science (BSc),3 to 5 year(s)
Jr. Sales Executive,Majestic Technologies Ltd.,Dhaka,Master of Commerce (MCom),At least 3 year(s)
Assistant/ Deputy Manager - Commercial (Export),A reputed group of company-Knit composite,Narayanganj,MBBS with at least 2 years of professional experience in the cardiology dept. after completing a...,8 to 10 year(s)
Junior Consultant-Cardiology Dept.,Bangladesh Specialized Hospital PLC,Shyamoli,Ex-Cadet,Na
Course Coordinator/Online Teacher (Ex-Cadet),Mojaru Education & Technologies Limited.,Dhaka,"Bachelor of Business Administration (BBA) in Marketing
Master of Business Administration (MBA) in...",At least 1 year(s)
Senior Officer/Assistant Manager-Marketing,Mojaru Education & Technologies Limited.,Dhaka,"Bachelor of Science (BSc)
Master of Science (MSc)",At least 2 year(s)
Officer/Senior Officer-Video Editor,Mojaru Education & Technologies Limited.,Dhaka,Master of Business Administration (MBA) in Accounting,At least 2 year(s)
Executive ( Internal Process Audit ),A reputed group of company-Knit composite,Narayanganj,"Masters in Information Systems Security (MISS) in Computer Science & Engineering
Master of Business...",2 to 5 year(s)
Trainer,A reputed group of company-Knit composite,Narayanganj,HSC,2 to 4 year(s)
Digital Marketing Specialist,China Bangladesh Import Hub,Uttara Sector 5,"Bachelor of Business Administration (BBA) in Management
Master of Business Administration (MBA)",4 to 7 year(s)
Marketing Executive,S A TAHAZUL INTERNATIONAL,Banani,HSC,Na
Digital Marketing Specialist,AlmadinaAbasonLimited,Mirpur 2,"Master of Business Administration (MBA)
Post Graduate Diploma (PGD) in Public Health
Bachelor of...",2 to 5 year(s)
Asst. Manager (HR & Admin),Rapid Pack Limited,Keraniganj,"Diploma in Computer
Bachelor of Business Administration (BBA)",At least 3 year(s)
Language Instructor,Nexus Academy,"Banani, Uttara Sector 12",HSC,At least 1 year(s)
Site Trial Coordinator,Toxicology Society of Bangladesh (TSB),Bogura Sadar,"Bachelor of Science (BSc) in Computer Engineering
Bachelor of Science (BSc) in Information...",2 to 3 year(s)
Data Entry Computer Operator (DECO),Reazaur Rahman & Associates,"Dhaka, Gazipur, Narayanganj, Mongla, Chittagong Epz","Diploma in Engineering in Mechanical Engineering
Diploma in Engineering in Electrical & Electronic...",Na
Education consultant,DESTINATION INTERNATIONAL LTD,Dhanmondi 32,Bachelors H.S.C,1 to 5 year(s)
Hospital Receptionist,HARD GROUP,Uttara Sector 6,Bachelors or Masters in HRM/ Management or any relevent Field,Na
IT Executive,ShopUp,Dhaka,"JSC
SSC
HSC",Na
"Intern, IT team (Global)",PFEC Global,Dhanmondi 27,"Bachelor of Business Administration (BBA) in Accounting
Master of Business Administration (MBA) in...",Na
Executive/ Senior Executive - Purchase & Procurement (Local),Meghna Group of Industries.,Gulshan,Bachelor of Business Administration (BBA) in Marketing,At least 2 year(s)
Brand Promoter,Exonext_Limited,Chattogram,"Bachelor in Engineering (BEngg) in Automobile
Diploma in Automobile in Automobile",1 to 5 year(s)
Management Trainee Officer - HR (Factory),RFL Group,"Habiganj, Rajshahi",Bachelor of Science (BSc) in Computer Science & Engineering,Na
বিক্রয় কর্মী,Onno Kichu (Gift Item),PanthaPath,"Diploma in Electro medical
Diploma in Medical Ultrasound
Diploma in Medical Technology...",1 to 2 year(s)
Officer/ Senior Officer (VAT),Akij Bakers Ltd.,Tongi,"Bachelor’s degree in Human Resources, Business Administration, or related field.",2 to 3 year(s)
Sales Executive,NRL ECO BRICKS LTD,Dhaka,A Bachelor's degree in Marketing or a related field is required,Na
জুনিয়র অফিসার / অফিসার অটোমোবাইল ইঙ্গিনিয়ারিং,HATIL,Gazipur,Doctor of Veterinary Medicine (DVM),3 to 5 year(s)
"Sr./Mid Full Stack Developer(Laravel, React JS)",Peoples IT Solution,Moghbazaar,Bachelor of Science (BSc) in Electrical & Electronic Engineering,2 to 5 year(s)
English Teacher,Rawdhatul Uloom International Madrasa & School,Jatrabari,"Master of Business Administration (MBA) in Accounting
Master of Business Administration (MBA) in...",Na
"Electrical Helper, BOGCL",Bashundhara Group,Keraniganj,"Master of Business Administration (MBA)
Bachelor of Science (BSc) in Electrical & Electronic...",1 to 2 year(s)
Sales & Service Engineer,F.F. Foundation Ltd.,Anywhere in Bangladesh,"Bachelor of Science (BSc) in Textile Technology
Master of Science (MSc) in Textile Technology",At least 5 year(s)
Senior Instrument Technician/ Instrument Technician (BOGCL),Bashundhara Group,Keraniganj,"Bachelor of Commerce (BCom) in Accounting
Bachelor of Business Administration (BBA) in Accounting &...",10 to 12 year(s)
Management Trainee,TourismUs BD,Dhaka,"Diploma in Textile Engineering
Bachelor of Arts (BA)
Bachelor of Science (BSc)",Na
Executive (HR) for Dubai,Intraco Group,United Arab Emirates,"Bachelor of Science (BSc)
Bachelor in Engineering (BEngg)",4 to 6 year(s)
