Job Title,Company Name,Location,Education Requirements,Experience Requirements
Manager - Human Resources,Good and Fast Packaging Co. Ltd.,Gazipur,"Bachelor of Arts (BA)
BBA/MBA in HRM Degree will get preferance.",At least 10 year(s)
কিচেন ওয়ার্কার (সৌদি আরব),Stech Group,Saudi Arabia,Master of Business Administration (MBA) in Human Resource Management.Preferred Professional...,At least 1 year(s)
"Manager, HR & Admin/Sr. Executive. HR & Admin",Geebee Bangladesh Ltd.,Chattogram,HSC/BA,14 to 18 year(s)
HR Assistant /Jr. Executive - HR,TASBIR TEXTILE INDUSTRIES LTD,Chattogram,"Master’s degree in human resources, Business Administration, or related field. And Professional HR...",1 to 4 year(s)
HR Officer,Qatar Charity,Dhaka,"Bachelor of Business Administration (BBA) in Marketing
Master of Business Administration (MBA) in...",At least 5 year(s)
Senior Marketing Executive (Strategic Planning & communication),Munshi HR Solutions Ltd.,Dhaka,BSC or Diploma in Civil Engineer from a Reputed Organization.,4 to 8 year(s)
Project Engineer,HR Holdings Ltd. (Sinbad Paradise Resort & Beyond),Cox's Bazar,Master degree in from reputed university (Account/Finance)·    ,4 to 5 year(s)
Sr. Manager,Managewell HR Services,Dhaka,Bachelor’s degree with minimum CGPA 3.00 out of 4.00SSC & HSC minimum GPA must be 3.00 out of...,At least 5 year(s)
"Executive/Sr. Executive, Sourcing",Munshi HR Solutions Ltd.,Vatara,"Bachelor of Business Administration (BBA)
Foundation course Microsoft Office Application (MS Word;...",2 to 5 year(s)
Guest Service Executive (Call Centre),Munshi HR Solutions Ltd.,Anywhere in Bangladesh,• Bachelor of Business Administration (BBA) in Human Resource Management • Master of Business...,1 to 2 year(s)
Sr. Executive/ Executive (Sales & Marketing),HR Soft BD,Dhaka,Minimum graduate with HR related degree or diploma,At least 1 year(s)
"Executive, Front-Desk Cum Accountant",Multinational Company but this post will be operated by 3rd party HR Payroll service provider,GULSHAN 2,"Bachelor of Business Administration (BBA)
Preference will be given if PGD HRM is done",Na
HR Officer,Uttara Sweater Manufacturing Company Ltd,Nilphamari Sadar, Bachelor in HRM/ Management from any reputed University. MBA in Management/HRM with PGD...,2 to 3 year(s)
Human Resource Assistant,BBC Media Action,Dhaka,Master of Business Administration (MBA),Na
"Sr. Manager (HR, Admin & Compliance)",RJM FOOTWEAR LIMITED,Chattogram,Masters in any discipline from a recognized University.MBA major in HRM with an excellent track...,10 to 20 year(s)
Executive HR (Night Shift),Ignite Tech Solutions,Mirpur 10,"Master of Business Administration (MBA) in Human Resource Management
Master of Business...",2 to 4 year(s)
Executive (HR),Steelmark Pipes Limited,Dhaka,Master of Business Administration (MBA),At least 1 year(s)
Associate Manager HR & Admin,CodersTrust Bangladesh Ltd.,"Dhaka, Banani",MBA in Human Resources form reputed University.International HR certification will add advantage,5 to 8 year(s)
Asst. HR Officer,Unimas Sportswear Ltd.,Kashimpur,"Bachelor of Business Administration (BBA) in Human Resource Management
PGDHRM is preferred.",Na
Asst. Manager-Recruitment (HR),Interstoff Group (South East Textiles (Pvt.) Ltd.) Unit -02,Mirzapur,"Master of Business Administration (MBA)
Masters/MBA with a major in Human Resources management from...",7 to 8 year(s)
Sr. Officer / Executive (HR & Admin),A prominent conglomerate,Savar,"Master of Business Administration (MBA) in Human Resource Management
Preferred Professional...",3 to 5 year(s)
Intern - HR (Recruitment),BJIT Ltd.,Dhaka,Bachelor (Hons) in any disciplinePGD in HRM will add advantage.Ex-Army/Navy/Air Force commissioned...,Na
Executive- HR,Multinational Group of Companies,Uttara,Master’s degree in Human Resources Management.Candidates with a Postgraduate Diploma in Human...,3 to 7 year(s)
"Manager / Senior Manager - HR, Admin & Compliance ( Sailor)",Epyllion Group,Tejgaon,"Bachelor of Business Administration (BBA) in Human Resource Management
Master of Business...",At least 10 year(s)
HR Executive,Global Office Automation Ltd.,Dhaka,Bachelor of Business Administration (BBA) in Human Resource Management,1 to 2 year(s)
DGM/AGM- HR & Administration (Factory),S.A. Group of Industries,Chattogram,"Master of Business Administration (MBA) in Human Resource Management
Bachelor of Business...",15 to 20 year(s)
Manager HR,Technic Construction Company Ltd.,Dhaka,"Bachelor of Business Administration (BBA) in Management
Bachelor of Business Administration (BBA) in...",6 to 8 year(s)
"Manager, HR & Admin (Colgate-Palmolive ACI Plant)",Advanced Chemical Industries Limited (ACI),Mirsharai,MBA (Major in HRM) or Masters in any discipline from a reputed public or private university. PGD in...,At least 8 year(s)
Asstt. Manager/ Manager (HR & Admin),Green Granite & Marble Ltd.,Narayanganj,"Master of Business Administration (MBA)
PGD PM/ PGD HRM will be given preference",At least 10 year(s)
"Manager, HR",Australian International School (AusIS),Dhaka,Bachelor in Human Resource Management or relevant subject.,At least 15 year(s)
Head of HR & Admin,National Agricare Group,Kathalbagan,"Bachelor of Business Administration (BBA) in Finance
Bachelor of Business Administration (BBA) in...",10 to 15 year(s)
