Job Title,Company Name,Location,Education Requirements,Experience Requirements
Data Scientist,A Reputed Group of Companies,Gulshan,Bachelor`s or Master`s in Computer ScienceBachelor`s or Master`s in Statistics/Data Science,3 to 5 year(s)
Data Scientist,ORBUND,Mohammadpur,"Bachelor of Science (BSc) in Computer Science
Master of Science (MSc) in Computer Science",1 to 5 year(s)
???? ?????? ??? ???? ???????,"????????? ??? ??????? ????? ???????? ????????????, ????????",????,Bachelor of Business Administration (BBA),Na
Call Center Team Leader,MY Outsourcing Ltd.,Banani,HSC,1 to 3 year(s)
Computer Operator,Md. Moyenuddin (Bashi) Limited,"Anywhere in Bangladesh, Dhaka","Bachelor of Science (BSc) in Electrical & Electronic Engineering
Bachelor of Science (BSc) in...",At least 2 year(s)
Data Artist (Associate) (Morning & Afternoon Shift),Catalyst Solutions,DOHS Baridhara,?????? (????????? ???????? ???????? ??????? ??????????),Na
????????? ???????,???????? ??????? ???? ?????,Dhanmondi,"HSC
A Level
HSC, O Level, A-Level, Bachelor degree in any discipline.",Na
???? ????????,?????-??????? ?? ????? ??????? ???? ??????????????,Faridpur,SSC,Na
????? ???????????,?????-??????? ?? ????? ??????? ???? ??????????????,Faridpur,"Bachelor of Medicine and Bachelor of Surgery(MBBS)
An MPH holder is get preferred",At least 3 year(s)
Data Entry Operator,Globaltecit,Uttara,"Bachelor of Science (BSc) in Computer Science
Bachelor of Business Administration (BBA) in Computing...",Na
Computer Operator,Zakir Enterprise(ZE),Uttara Sector 12,"Bachelor of Business Administration (BBA) in Accounting
Master of Business Administration (MBA) in...",Na
Data Engineer,Itransition Software Bangladesh Ltd,Anywhere in Bangladesh,"Bachelor of Science (BSc) in Electrical & Electronic Engineering
Bachelor of Science (BSc) in...",At least 2 year(s)
Assistant Health & Nutrition Coordinator,"Gonoshasthaya Kendra, Cox`s Bazar",Cox's Bazar,Bachelor of Science (BSc) in Computer Science & Engineering,At least 5 year(s)
Product Analyst,Innofast Technologies Ltd.,Lalmatia,Bachelor of Computer Application (BCA),Na
Executive (Quickbooks Expert) Night Shift,ASL BPO,Uttara Sector 9,"An advanced university degree (Master's degree), in data science, computer science, data and...",At least 3 year(s)
"Trainee, Products & Solution Design",Data Edge Limited,Baridhara,"Diploma in Business Studies in English
Bachelor of Arts (BA) in English
Bachelor of Business...",Na
Senior Software Engineer / .Net Developer,Data Edge Limited,Baridhara,"Under Graduate (Running student applicable), BSC / Diploma Engineering",6 to 10 year(s)
Senior PHP Laravel NodeJs Developer,Data Host IT,Gulshan,"Bachelor of Business Administration (BBA) in Hospitality Management
Master of Business...",5 to 10 year(s)
"Manager, Customer Experience (Night Shift)",Apex Data Management & IT Ltd,Banani,"Bachelor of Science (BSc)
B.Sc. in Textile from BUTEX or Master’s degree in any discipline from DU,...",12 to 14 year(s)
Business Transformation Officer (Data Specialist) - (Re-Ad),United Nations World Food Programme (WFP),Cox's Bazar,Bachelor of Computer Application (BCA) in Computer Science & Engineering,At least 5 year(s)
Telemarketing Specialist (Night Shift),TechSoldier BPO,Pallabi,Masters in Accounting from reputed public or private university.,Na
Data Entry & Internet Researcher,MhR Tech (A private IT firm),Khulna Sadar,B.Sc. or M.Sc. in Computer Science and/or Engineering from a reputable university or equivalent...,Na
Manager - Finance & Accounting,Quantanite Bangladesh Limited,Mirpur 14,"Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field from a reputable...",5 to 8 year(s)
General Manager - Service & Maintenance,InfoTitan Limited,GULSHAN 2,"Bachelor`s or Master`s degree in Computer Science, Engineering, or a related field from a reputable...",10 to 12 year(s)
Management Trainee - Marketing & Merchandising,Interstoff Group ( South East Textiles (Pvt.) Ltd.,Mirzapur,"Bachelor`s or Master`s degree in Computer Science, Engineering, or a related field from a reputable...",Na
Customer Service Executive (Night Shift),ESS Global Tech,"Dhaka, Uttara",B.Sc. or M.Sc. in Computer Science and/or Engineering from a reputable university or equivalent...,Na
Data Entry & AI Research Assistant,Ikitchen Ltd.,Banani,"Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field from a reputable...",1 to 2 year(s)
"Asst. Manager/ Manager, Customer Experience",Apex Data Management & IT Ltd,Banani,"Bachelor of Science (BSc) in Computer Science & Engineering
Bachelor of Business Administration...",4 to 8 year(s)
"Lead, Customer Experience",Apex Data Management & IT Ltd,Banani,"Diploma in Computer
Bachelor of Business Administration (BBA)",3 to 4 year(s)
Executive (Accounts),RAYAT TRADE INTERNATIONAL,Keraniganj,Master of Business Administration (MBA) in Marketing,At least 2 year(s)
Senior Full Stack .NET Developer,Object Data Inc.,United States,Bachelor of Science (BSc) in Computer Science & Engineering,At least 8 year(s)
Senior Full Stack Java Developer,Object Data Inc.,United States,Diploma in Computer,At least 8 year(s)
Senior Fullstack NodeJS Developer,Object Data Inc.,United States,Diploma in Textile Engineering in Textile Technology,At least 8 year(s)
Senior Data Science Engineer,Object Data Inc.,United States,"Bachelor of Business Administration (BBA) in Finance
Bachelor of Business Administration (BBA) in...",At least 8 year(s)
