Job Title,Company Name,Location,Education Requirements,Experience Requirements
Business Development Officer (Aqua)/Sr. Business Development Officer (Aqua),GreenHill Pharmaceuticals,Anywhere in Bangladesh,BSc in Fisheries/ Masters in Fisheries / Masters in Marine Science or a related field is typically...,2 to 3 year(s)
Business Development Officer/Sr. Business Development Officer,GreenHill Pharmaceuticals,Anywhere in Bangladesh,BSc in Animal Science / Masters in Biological Science / Masters with science background up to HSC...,2 to 3 year(s)
Associate-Business Development,SAJIDA FOUNDATION,Dhaka,Bachelor of Business Administration (BBA) in Management Information System,Na
Assistant Business Development Manager,A Renowned Freight Forwarding Company.,Bijoynagar,BBA or Bachelor degree in any discipline.,2 to 3 year(s)
Business Development Intern,Hashtec Digitals,Khulshi,"Bachelor of Business Administration (BBA)
Bachelor of Business Administration (BBA)",Na
Business Development Executive,MySoft Limited,Dhaka,Bachelor of Business Administration (BBA) in Marketing,1 to 3 year(s)
Manager/ Sr. Manager (Strategic Planner)- Business Development,Akij Resources,Dhaka,"Bachelor of Business Administration (BBA) in Economics
Bachelor of Business Administration (BBA) in...",8 to 10 year(s)
Business Development & Marketing Executive,Eventa Private Limited,Dhanmondi,"Bachelor of Business Administration (BBA)
Bachelor’s degree in Business Administration, Marketing,...",Na
"Executive, Business Development (Enterprise Software)",BYSL Global Technology Group,Gulshan,"Bachelor’s degree in Business Administration, Marketing, or a related field. (MBA is a plus).",At least 2 year(s)
Business Development Representative (Sales),Connected.Ed,Uttara Sector 7,"Master of Business Administration (MBA)
Bachelor of Business Administration (BBA)
Bachelor of...",3 to 4 year(s)
Business Development Officer (Only Female),Reputed Buying House,Dhaka,Education: Bachelor’s degree or Honours in any discipline.,3 to 5 year(s)
Business Development Manager,Reputed Buying House,Dhaka,Bachelor Degree from a recognized University / Institutions of Bangladesh in relevant field.,15 to 20 year(s)
Business Development Officer (Hybrid),UpSkill Consultancy,Dhaka,BBA/Bachelor/MBA/Equivalent.,At least 1 year(s)
Sales and Business Development Executive,Trillenium Group,"Anywhere in Bangladesh, Chattogram, Dhaka, Khulna",BBA/Bachelor/MBA/Equivalent.,At least 5 year(s)
Sr. Executive/ Executive Business Development Department,Information Services Network Limited,"Chattogram, Dhaka, Khulna","Bachelor’s Degree in Business Administration, Marketing, or a related field (MBA preferred).",1 to 2 year(s)
