Company,Title,Location,Description
IDLC Finance PLC,Associate Relationship Manager,"Dhaka, Bangladesh",Description not available
PalmPay,Sales Operations Analyst,Bangladesh,Description not available
Gildan,Digital Operations Analyst (Web Developer),"Dhaka, Dhaka, Bangladesh",Description not available
Conexess Group,Data/Business Intelligence Analyst (Mid-level) - 100% Remote,"Kansa, Barisāl, Bangladesh",Description not available
Optimizely,Business Analyst,"Dhaka, Dhaka, Bangladesh",Description not available
Water.org,Partnership Associate,"Dhaka, Dhaka, Bangladesh",Description not available
PalmPay,Product Associate - Bangladesh,"Dhaka, Dhaka, Bangladesh",Description not available
World Food Programme,Data Analyst G6 Dhaka,"Dhaka, Dhaka, Bangladesh",Description not available
Commure,"Associate, Data Analyst (RCM), Augmedix (Bangladesh)","Dhaka, Dhaka, Bangladesh",Description not available
Athelas,"Associate, Data Analyst (RCM), Augmedix (Bangladesh)","Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Data Analyst (For Genex Infosys Limited)-Job ID: 1324603,"Dhaka, Bangladesh",Description not available
Kantar,Associate Research Manager,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Business Analyst - For Integrated Software and Technologies Ltd.- Job ID - 1327353,"Mirpur, Dhaka, Bangladesh",Description not available
United Nations Development Programme (UNDP),* IT Associate,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Business Analyst (For Shanta Life Insurance PLC) - Job ID : 1327610,"Tejgaon Industrial Area Thana, Dhaka, Bangladesh",Description not available
Bdjobs.com,Business Development Analyst - For Apex Data Management & IT Ltd (Job ID : 1323554),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Technical Support Analyst Manager (For vivo Factory) (For vivo Bangladesh (Head Office)-Job ID: 1330954,"Dhaka, Bangladesh",Description not available
Citi,Cash and Trade Proc Analyst 1,"Dhaka, Dhaka, Bangladesh",Description not available
CAREER141,Management Information System Analyst,"Dhaka, Bangladesh",Description not available
Athelas,"Jr. Account Receivable Associate, Augmedix","Dhaka, Dhaka, Bangladesh",Description not available
UNDP Careers,IT Associate,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Research Associate - For RBD (Job ID : 1325070),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Business Data & Financial Model Analyst - For Bdcalling- Job ID : 1331892,"Dhaka, Bangladesh",Description not available
UNDP in the Arab States region,IT Associate,"Dhaka, Dhaka, Bangladesh",Description not available
MetLife Bangladesh,Government Relations Associate (Contractual),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Project Manager/Business Analyst - (For FAQ Private Limited) -Job ID: 1327897,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Trainee Officer & Executive - MIS - For VIYELLATEX group (Job ID : 1330966),"Gazipur District, Dhaka, Bangladesh",Description not available
Augmedix,Financial Data Analyst,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,"Analyst/ Sr. Analyst, Pricing & Network Development (Air & Sea Freight) - For 3i Logistics (Pvt.) Ltd. (Job ID : 1331204)","Dhaka, Bangladesh",Description not available
Hyatt,Assistant Manager - Revenue,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,"Associate Officer, Administration - For A Leading Group of Company (Job ID : 1326695)","Dhaka, Bangladesh",Description not available
Standard Chartered,"Analyst, Client Delivery","Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Statistical Analyst (For Walton Hi-Tech Industries PLC.)-Job ID: 1326536,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Analyst - Data Solutions (For SEBPO) - Job ID : 1323755,"Dhaka, Bangladesh",Description not available
Norwegian Refugee Council,Information Analyst ACAPS Bangladesh Dhaka,"Dhaka, Dhaka, Bangladesh",Description not available
Commure,"Jr. Account Receivable Associate, Augmedix","Dhaka, Dhaka, Bangladesh",Description not available
"Kontoor Brands, Inc.",Senior Financial Analyst,"Dhaka, Dhaka, Bangladesh",Description not available
Panaroma Finance,PR Associate / Collaboration and Growth Strategist,Bangladesh,Description not available
Bdjobs.com,Business Analyst (For Synesis IT) - Job ID : 1322909,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Digital Media Analyst - For The Daily Star (Job ID :1330789),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Lead Generation Specialist - For Rise Up Labs (Job ID : 1322499),"Dhaka, Bangladesh",Description not available
UNOPS,Project Management Support - Senior Analyst (Retainer),"Dhaka, Dhaka, Bangladesh",Description not available
Garena,"Senior Associate, Esports Operation",Bangladesh,Description not available
Bdjobs.com,Cyber Security Analyst (Remote) - For Alpha Group BD (Job ID :1328933),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Associate Product Manager (For Genex Infosys Limited)-Job ID: 1331230,"Dhaka, Bangladesh",Description not available
UNDP Careers,"UN Women: Re-Advertised: Programme Specialist, Rohingya Refugee Response, Bangladesh, Cox's Bazar, NOC, Fixed Term Contract","Cox’s Bazar, Chattogram, Bangladesh",Description not available
Standard Chartered,"Analyst, Client Management CET","Dhaka, Dhaka, Bangladesh",Description not available
Lalamove,"Associate (Inbound), Sales","Dhaka, Dhaka, Bangladesh",Description not available
Standard Chartered,"Associate, CEO Office","Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Assistant Manager - Human Resource (HR Analytics) - (For Epyllion Group)-Job ID: 1331196,"Dhaka, Bangladesh",Description not available
Therap (BD) Ltd.,Associate Marketing Operations Specialist,"Dhaka, Dhaka, Bangladesh",Description not available
International Workplace Group plc,Performance Analyst,"Dhaka, Dhaka, Bangladesh",Description not available
Gap Inc.,"Sr Analyst, Costing Excellence GSD - Bangladesh","Dhaka, Bangladesh",Description not available
United Nations Development Programme (UNDP),"* UN Women: Re-Advertised: Programme Specialist, Rohingya Refugee Response, Bangladesh, Cox's Bazar, NOC, Fixed Term Contract","Cox’s Bazar, Chattogram, Bangladesh",Description not available
Augmedix,"Associate, Data Analyst (RCM)","Dhaka, Dhaka, Bangladesh",Description not available
Monarch Infosys Limited,Work Order Processor for Property Preservation,Bangladesh,Description not available
Bdjobs.com,Management Trainee - For A Well Reputed Multinational Textile Dyes and Chemical Company (Job ID :1327013),"Dhaka, Bangladesh",Description not available
United Nations Development Programme (UNDP),"* UN Women: Programme Analyst, Women’s Economic Resilience and Livelihoods, Bangladesh, Cox's Bazar, NOA, Fixed Term Contract","Cox’s Bazar, Chattogram, Bangladesh",Description not available
Bdjobs.com,Financial Analyst - For RAHMA HOME CARE AGENCY LLC (USA BASED ORGANIZATION) (Job ID : 1325039),"Dhaka, Bangladesh",Description not available
UN Women,"UN Women: Programme Analyst, Women’s Economic Resilience and Livelihoods, Bangladesh, Cox's Bazar, NOA, Fixed Term Contract","Cox’s Bazar, Chattogram, Bangladesh",Description not available
United Nations Development Programme (UNDP),"* UN Women: National Consultant (Civil Engineer), Cox's Bazar, SSA","Cox’s Bazar, Chattogram, Bangladesh",Description not available
World Food Programme,Programme Associate G6,"Rangamati, Chattogram, Bangladesh",Description not available
The Second Source,Excel Analyst and Team Leader,"Bogra, Rajshahi, Bangladesh",Description not available
UNFPA Supply Chain,"International Consultant-Evaluation Consultancy for UNFPA Bangladesh 10th Country Programme Evaluation (2022-2026), Team Leader","Dhaka, Dhaka, Bangladesh",Description not available
Hyatt Place,Assistant Manager - Revenue,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Research & Development Consultant. (For Eastern Insurance Company Ltd.) - Job ID : 1329990,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Associate/Senior Associate (Accounts & Taxation) - For Tokyo Consulting Firm Limited (Job ID :1330677),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Associate Sales Specialist (For Permitdeny Limited)-Job ID: 1327741,"Dhaka, Bangladesh",Description not available
